app_name,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,analysis_date
5EEBF24EBE93A46B565339B44DA2B188003C5F94C10F6529BFA2A2AF3EBBD923.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
61AEFD868CE2601CC54437E353A85CDDA5B1DBBCF2C80EDAE1DB6C3918188458.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
62A6F954FF6CDC09ABCE4B6DF6E7FCE9FBBF8ABBDBC9A9FEF289862D341611BC.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
623427119650E8FA47255BA478CA1911C44728FF6FD41140E22EE308036E9CFE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
62F8D361C7150AB9AB13220C7FF3FFF17C88F4D9E5ACBCF217C7E4548307B2C9.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
6338151AD29DC5964C8EB4320B491D236D270BDABA383E67870DC1CF2981A242.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
637CFF7E2FE44B8CA3683CE79001284527CB3B8B51E0956C2937A1004ED40D52.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
63F4FBA405B0C54611F35B25B8D3B2BCD04057516A9D02C74FAC9F2BB7EE278A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
62E523AE827F3BC22EBE77BE8E80CBAA31964CB24E6BAECB36A0361695F12FAE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
643005DB9FE16E678F88F49FD0EDF2416EAC6A693F03C775BF3BFEF10AE3F799.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
646EE4C94B8274E8F384459BA9B6B5B93735707FEED4021916D05B0F2E99C9E4.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
65CAB65798166B99FB96F6CEA7590EA74F5FACFCC2B58FCEA18DE72BDBE6DA3E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
66512E33A74B6EC19EA1D48557751FAEAE9A07ED2C448AE707AA64CA21AA0747.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
660825629F246613C228C84A43887AB992B4AB28DE6D38B8A286C0AF06803AFD.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
6730D74B55232AACC1D6BFF773E227EF9A578F5BA1BFB63B95208C6A076417F5.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
67DCAE999F121D5C9421F658EE99868260B229904FA4E9C8A77E45FA2D7D8DF1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
67BA52EEBB41346D8ED295733DE2EBEA6DFB2F47C7A9EB8AB91D7FF82FFC191D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6685D88FCCD8468555CEAFE1B84A4CB2CBDEDDF2E5E3B43E48A4BD445AE147B8.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
68DC9EACFEBD41CA5253CF19E42749F595141A123423501649C5D44AA5BFA3FF.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6A52A330D54B81F3FA9DD81BAF51CD9B271306695D40E34EF6F2E21D155A3EF0.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6B71882D45C9BB8F6AF60083650CDF55C66C62C61CF609215D4941AA50C10A62.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6B3002EC1FA1582AD3231C7B1331C317195EF901C3BDBF1F7F8C1AE17FFE1AF5.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6A6DB8DF420D697E090EC1400178899470DFA0D611527EA729AF84909728EBFA.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6CC80E7764335367B586EDD2A457A32470C3277DED4EF8F56FEEA530147844E4.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6D7D62F529D19D095AC692C775AFBD6366F3F0B0ADF79672D9E748A478D0460F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6C046B16408791579F185981677116281E4F161C0D450456A6270129E64C6FD6.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
6E4DFC9A949559C84A6F9F6CCD280387DB3822116CC8667AFDE675178F7D28E2.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
6F3EE4F0CB81AB21A6AB9036616F333C2BE8A3B81278D8727BC08DA7D7777309.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
70B0D17331F89897F9EFAFDCB82813255D7A8A0577EE4E042B8B2006A6D76560.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
6E064EA14261FC1262514EA88649B828CF93A99DC36EFB7ED8983421BC0F07E7.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:38
72B27EDC12D11CF75D1F3136038D887B208E46A01D8B0F022F80E89304058C6E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
70CA5E9E8BE0E6A74F21C429BC347C56283B92483BB4BE989041764C08140FC2.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
740AED5840016EA6F5DE8CAD64CEE053AE2F654A01310C5F0519B71C338FBA7F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
71E4E92D9B962EB73A2F12068EA54FF0EFE9B2CCAC399BDF2269F7ED53649087.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
758FA8F27EFA0547C8446B440A21490FBD32D9141AC5BC7A5333D07DA17EA42C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
759E990906B63B920B04218F3B762DC5E3FB96BA67EFD091B67873DB7C50380D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
76E684C42E73080232A28B14581B1D0A00799E0A7D4ADA6595DF23BC44FA2554.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
7740165F3C1516D86F5F315ED92281323BF16483AFA534F3F6698D0239E25BA7.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
